gen,nevals,avg,std,min,max
0,0,54.973,[0.65136088],[36.],[55.]
1,771,54.965,[0.55836816],[44.],[55.]
2,741,54.994,[0.18964177],[49.],[55.]
3,757,55.0,[0.],[55.],[55.]
4,761,54.971,[0.54420492],[42.],[55.]
5,729,54.987,[0.4108905],[42.],[55.]
6,748,54.978,[0.49144277],[44.],[55.]
7,757,54.981,[0.4296964],[44.],[55.]
8,731,54.981,[0.4296964],[44.],[55.]
9,748,54.978,[0.49144277],[44.],[55.]
10,739,54.987,[0.4108905],[42.],[55.]
11,758,55.0,[0.],[55.],[55.]
12,793,54.992,[0.25285569],[47.],[55.]
13,750,54.983,[0.3958674],[44.],[55.]
14,756,54.992,[0.25285569],[47.],[55.]
15,757,55.0,[0.],[55.],[55.]
16,773,54.966,[0.76081798],[37.],[55.]
17,763,54.979,[0.48224371],[42.],[55.]
18,716,54.979,[0.48224371],[42.],[55.]
19,727,54.992,[0.25285569],[47.],[55.]
20,740,55.0,[0.],[55.],[55.]
21,746,54.981,[0.4296964],[44.],[55.]
22,735,54.957,[0.84566601],[33.],[55.]
23,759,54.968,[0.61885055],[39.],[55.]
24,737,54.989,[0.34767657],[44.],[55.]
25,736,54.984,[0.35741293],[47.],[55.]
26,753,54.97,[0.55235858],[44.],[55.]
27,756,54.981,[0.4296964],[44.],[55.]
28,759,54.984,[0.35741293],[47.],[55.]
29,756,55.0,[0.],[55.],[55.]
30,764,54.981,[0.60053226],[36.],[55.]
31,745,54.946,[0.89391498],[36.],[55.]
32,752,54.992,[0.25285569],[47.],[55.]
33,774,54.962,[0.79028855],[36.],[55.]
34,754,54.973,[0.85338795],[28.],[55.]
35,760,54.992,[0.25285569],[47.],[55.]
36,771,54.976,[0.56517608],[39.],[55.]
37,746,55.0,[0.],[55.],[55.]
38,746,54.973,[0.65136088],[36.],[55.]
39,747,54.989,[0.34767657],[44.],[55.]
40,749,54.989,[0.34767657],[44.],[55.]
41,769,54.973,[0.61340933],[39.],[55.]
42,760,54.97,[0.69361373],[36.],[55.]
43,733,54.979,[0.48224371],[42.],[55.]
44,767,54.989,[0.34767657],[44.],[55.]
45,745,54.954,[0.85550219],[37.],[55.]
46,750,54.955,[0.83604725],[37.],[55.]
47,748,54.989,[0.34767657],[44.],[55.]
48,758,54.984,[0.50571138],[39.],[55.]
49,762,54.968,[0.50495148],[47.],[55.]
50,738,54.997,[0.09482088],[52.],[55.]
